ticker,drift,t,lower_bound_drift,upper_bound_drift,volatility
A,0.14746773403244492,1.96,0.14660348452960775,0.1483319835352821,0.23142552049750936
AAL,-0.14129386050077988,1.96,-0.14215811000361706,-0.1404296109979427,0.4549923801751747
AAP,-0.048102133866552856,1.96,-0.04896638336939003,-0.04723788436371568,0.3425621662660561
AAPL,0.24270982336153857,1.96,0.2418455738587014,0.24357407286437574,0.23447402561098152
ABBV,0.11599966268021598,1.96,0.11513541317737881,0.11686391218305316,0.24293842879154118
ABT,0.1230828500165348,1.96,0.12221860051369762,0.12394709951937197,0.19972290276977336
ACN,0.1510124327241155,1.96,0.15014818322127832,0.15187668222695266,0.2143672865069754
ADBE,0.22440062711717915,1.96,0.22353637761434197,0.22526487662001632,0.27627344856193997
ADI,0.14644879184490617,1.96,0.145584542342069,0.14731304134774334,0.25932929353183976
ADM,0.056409297430788555,1.96,0.05554504792795138,0.05727354693362573,0.232950377873975
ADP,0.12922095695785601,1.96,0.12835670745501884,0.1300852064606932,0.20335738026223166
ADSK,0.17576056922429256,1.96,0.1748963197214554,0.17662481872712973,0.31255570589100545
AEE,0.08042987350929838,1.96,0.07956562400646121,0.08129412301213555,0.18596185390595224
AEP,0.0552291207474763,1.96,0.05436487124463913,0.056093370250313475,0.1836762498794759
AES,0.06419316319835583,1.96,0.06332891369551866,0.065057412701193,0.2885939257889376
AFL,0.10309892833739985,1.96,0.10223467883456268,0.10396317784023702,0.2170950117816721
AIG,0.0078062550555710415,1.96,0.006942005552733867,0.008670504558408216,0.28559840266186376
AIZ,0.09796091060781796,1.96,0.09709666110498079,0.09882516011065513,0.22827791683232612
AJG,0.1907923395995763,1.96,0.18992809009673914,0.19165658910241348,0.18056493282090855
AKAM,0.06880443621518484,1.96,0.06794018671234767,0.06966868571802201,0.2754769571084754
ALB,0.1094761532815895,1.96,0.10861190377875232,0.11034040278442667,0.38686876094724537
ALGN,0.18908378497345937,1.96,0.1882195354706222,0.18994803447629655,0.4067285479447695
ALK,-0.061204329995433286,1.96,-0.06206857949827046,-0.060340080492596114,0.41617806618525105
ALL,0.09464044352601067,1.96,0.0937761940231735,0.09550469302884784,0.20994000365489962
ALLE,0.08861060657088225,1.96,0.08774635706804508,0.08947485607371942,0.23544080101219034
AMAT,0.2343965690338539,1.96,0.23353231953101672,0.23526081853669106,0.3336188865595661
AMD,0.43965769203026206,1.96,0.43879344252742486,0.44052194153309926,0.47419696459399574
AME,0.13525911296923968,1.96,0.1343948634664025,0.13612336247207685,0.21388390256068826
AMGN,0.07500894708799742,1.96,0.07414469758516025,0.0758731965908346,0.2176087294476649
AMP,0.13821102050057196,1.96,0.1373467709977348,0.13907527000340913,0.28277232623714527
AMT,0.10226880440955159,1.96,0.10140455490671442,0.10313305391238876,0.21335319646810375
AMZN,0.2312489595120589,1.96,0.23038471000922173,0.23211320901489607,0.2792911695960346
ANSS,0.16428902272548315,1.96,0.16342477322264598,0.16515327222832032,0.24663608363381306
AON,0.1464987944221363,1.96,0.14563454491929914,0.14736304392497349,0.1928823690901166
AOS,0.09250791914366378,1.96,0.09164366964082661,0.09337216864650096,0.23532193383283942
APA,-0.09609462334736789,1.96,-0.09695887285020506,-0.09523037384453072,0.5232112908040197
APD,0.09292734868220215,1.96,0.09206309917936498,0.09379159818503932,0.2162405850015961
APH,0.1525321954459005,1.96,0.15166794594306332,0.15339644494873766,0.207835495069639
ARE,0.05406492792382312,1.96,0.05320067842098595,0.05492917742666029,0.21772539102200703
ATO,0.08350000713749295,1.96,0.08263575763465578,0.08436425664033012,0.17862006759454707
AVB,0.023741608237705318,1.96,0.022877358734868142,0.024605857740542494,0.20531782066428333
AVGO,0.2543267517435079,1.96,0.2534625022406707,0.2551910012463451,0.31816688639302665
AVY,0.14848344460054025,1.96,0.14761919509770308,0.14934769410337742,0.2273049606967934
AWK,0.11812895571655607,1.96,0.1172647062137189,0.11899320521939324,0.1921209780823494
AXP,0.1086590493688607,1.96,0.10779479986602353,0.10952329887169787,0.2663160903975089
AZO,0.17325568661480775,1.96,0.17239143711197058,0.17411993611764492,0.21751190875058024
BA,0.02967479138274464,1.96,0.028810541879907465,0.030539040885581816,0.3506148409157363
BAC,0.09307620823376395,1.96,0.09221195873092677,0.09394045773660112,0.268652819593496
BAX,-0.02002613415656962,1.96,-0.020890383659406795,-0.019161884653732444,0.28066216607933364
BBY,0.11464615999845792,1.96,0.11378191049562075,0.1155104095012951,0.34760709760876307
BDX,0.06804935751160562,1.96,0.06718510800876845,0.0689136070144428,0.1859995906957483
BEN,-0.07807356603966646,1.96,-0.07893781554250363,-0.07720931653682929,0.2844527819795733
BF.B,-0.037913306081493375,1.96,-0.03877755558433055,-0.0370490565786562,0.30487211426111965
BIO,0.14018134298279222,1.96,0.13931709347995505,0.1410455924856294,0.2665087645258375
BK,0.03045462277123854,1.96,0.029590373268401363,0.03131887227407571,0.23544611329502352
BLK,0.10259444186141264,1.96,0.10173019235857547,0.10345869136424982,0.23777835376933842
BMY,0.002408469370688289,1.96,0.0015442198678511142,0.0032727188735254637,0.2263207478410366
BR,0.15494862060098732,1.96,0.15408437109815015,0.1558128701038245,0.19697096101982425
BRK.B,0.11423330633752407,1.96,0.1133690568346869,0.11509755584036124,0.15969284775824752
BRO,0.18599183523348847,1.96,0.1851275857306513,0.18685608473632564,0.18714756498733345
BSX,0.14885429603180408,1.96,0.1479900465289669,0.14971854553464126,0.23491166770361308
BWA,-0.03201651354131417,1.96,-0.03288076304415134,-0.031152264038476995,0.31120134406621663
BXP,-0.06485586932853059,1.96,-0.06572011883136776,-0.06399161982569342,0.2652027269422611
C,0.0054446227211617385,1.96,0.004580373218324564,0.006308872223998913,0.28456563804819845
CAG,-0.018600426819466498,1.96,-0.019464676322303674,-0.017736177316629322,0.2453360728955131
CAH,0.006217565044093473,1.96,0.0053533155412562984,0.007081814546930648,0.2545117125343104
CAT,0.13585499694032968,1.96,0.1349907474374925,0.13671924644316685,0.2637997830274723
CB,0.08678538728228805,1.96,0.08592113777945087,0.08764963678512522,0.21174354470303097
CBOE,0.10714696545564249,1.96,0.10628271595280532,0.10801121495847966,0.20734828665092175
CCI,0.05685576999319815,1.96,0.05599152049036098,0.05772001949603532,0.20867622623262724
CCL,-0.14961904665665604,1.96,-0.1504832961594932,-0.14875479715381887,0.48550854571794805
CDNS,0.30313568397944063,1.96,0.30227143447660343,0.30399993348227783,0.2648084903980155
CDW,0.21108168076774594,1.96,0.21021743126490877,0.21194593027058312,0.24766230045150264
CE,0.08315164314459672,1.96,0.08228739364175955,0.08401589264743389,0.298060694413465
CF,0.07157918327413967,1.96,0.0707149337713025,0.07244343277697685,0.36058182731399563
CHD,0.10783511273310492,1.96,0.10697086323026775,0.10869936223594209,0.34382805026500185
CHRW,0.04152308766721653,1.96,0.04065883816437936,0.042387337170053704,0.23919886860167328
CHTR,0.10070898442377021,1.96,0.09984473492093304,0.10157323392660739,0.2777755632735988
CI,0.11138819779301831,1.96,0.11052394829018114,0.11225244729585548,0.2647610067153781
CINF,0.08918603118208865,1.96,0.08832178167925148,0.09005028068492582,0.23432197327787482
CL,0.02579089660188206,1.96,0.024926647099044883,0.026655146104719234,0.15604979634472316
CLX,0.044459153773281156,1.96,0.043594904270443983,0.04532340327611833,0.20411954789873446
CMA,0.017496390381687665,1.96,0.01663214087885049,0.01836063988452484,0.36413628235252865
CMCSA,0.04601505253953286,1.96,0.045150803036695684,0.04687930204237003,0.21424875896463694
CME,0.10206371938042635,1.96,0.10119946987758918,0.10292796888326353,0.19963342756322403
CMG,0.17844646527371108,1.96,0.1775822157708739,0.17931071477654825,0.30445987022126847
CMI,0.08265865689411293,1.96,0.08179440739127576,0.0835229063969501,0.24306894611233326
CMS,0.07306010332995849,1.96,0.07219585382712132,0.07392435283279566,0.17764940450426678
CNC,0.12531702574860512,1.96,0.12445277624576795,0.1261812752514423,0.3084492470505057
CNP,0.026030274443331728,1.96,0.025166024940494552,0.026894523946168904,0.21873644259385155
COF,0.05936522446166794,1.96,0.05850097495883077,0.06022947396450511,0.3224523694459476
COO,0.10622904795328393,1.96,0.10536479845044676,0.1070932974561211,0.2270100423606782
COP,0.06639340421482666,1.96,0.06552915471198949,0.06725765371766383,0.33188635798966176
COST,0.18732327953184544,1.96,0.18645903002900827,0.1881875290346826,0.18253016330760058
CPB,-0.006741510234833273,1.96,-0.007605759737670447,-0.005877260731996098,0.21262833119835592
CPRT,0.2703334356470859,1.96,0.2694691861442487,0.2711976851499231,0.23588101766025868
CRL,0.1553330734205013,1.96,0.15446882391766412,0.15619732292333846,0.3023214373870281
CRM,0.1564114232688963,1.96,0.15554717376605912,0.15727567277173346,0.30022518822141203
CSCO,0.07787060821513135,1.96,0.07700635871229418,0.07873485771796852,0.2100500021669697
